2025-09-27 15:59:51,038 - INFO - Trial 15 finished with value: 0.6532258064516129 and parameters: {'upsampling_bins': 25, 'alpha': 0.15000000000000002, 'beta': 0.65}. Best is trial 14 with value: 0.7473118279569892.
2025-09-27 16:03:27,196 - INFO - Trial 16 finished with value: 0.6706989247311828 and parameters: {'upsampling_bins': 15, 'alpha': 0.05, 'beta': 0.4}. Best is trial 14 with value: 0.7473118279569892.
2025-09-27 16:08:35,122 - INFO - Trial 17 finished with value: 0.689516129032258 and parameters: {'upsampling_bins': 29, 'alpha': 0.3, 'beta': 0.65}. Best is trial 14 with value: 0.7473118279569892.
2025-09-27 16:12:33,976 - INFO - Trial 18 finished with value: 0.689516129032258 and parameters: {'upsampling_bins': 16, 'alpha': 0.15000000000000002, 'beta': 0.4}. Best is trial 14 with value: 0.7473118279569892.
2025-09-27 16:16:24,986 - INFO - Trial 19 finished with value: 0.7728494623655914 and parameters: {'upsampling_bins': 22, 'alpha': 0.15000000000000002, 'beta': 0.2}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:20:30,086 - INFO - Trial 20 finished with value: 0.6841397849462365 and parameters: {'upsampling_bins': 23, 'alpha': 0.2, 'beta': 0.2}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:24:30,927 - INFO - Trial 21 finished with value: 0.7110215053763441 and parameters: {'upsampling_bins': 21, 'alpha': 0.1, 'beta': 0.35}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:28:26,378 - INFO - Trial 22 finished with value: 0.7419354838709677 and parameters: {'upsampling_bins': 28, 'alpha': 0.15000000000000002, 'beta': 0.2}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:32:00,003 - INFO - Trial 23 finished with value: 0.6491935483870968 and parameters: {'upsampling_bins': 18, 'alpha': 0.05, 'beta': 0.1}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:36:08,479 - INFO - Trial 24 finished with value: 0.668010752688172 and parameters: {'upsampling_bins': 22, 'alpha': 0.25, 'beta': 0.25}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:39:58,284 - INFO - Trial 25 finished with value: 0.6801075268817205 and parameters: {'upsampling_bins': 12, 'alpha': 0.1, 'beta': 0.5}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:44:20,190 - INFO - Trial 26 finished with value: 0.6733870967741935 and parameters: {'upsampling_bins': 23, 'alpha': 0.2, 'beta': 0.30000000000000004}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:49:20,343 - INFO - Trial 27 finished with value: 0.6586021505376345 and parameters: {'upsampling_bins': 28, 'alpha': 0.3, 'beta': 0.7000000000000001}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:53:17,500 - INFO - Trial 28 finished with value: 0.6532258064516129 and parameters: {'upsampling_bins': 17, 'alpha': 0.15000000000000002, 'beta': 0.35}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 16:59:26,914 - INFO - Trial 29 finished with value: 0.6720430107526881 and parameters: {'upsampling_bins': 35, 'alpha': 0.6500000000000001, 'beta': 0.55}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:03:25,063 - INFO - Trial 30 finished with value: 0.7217741935483871 and parameters: {'upsampling_bins': 13, 'alpha': 0.3, 'beta': 0.2}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:07:21,595 - INFO - Trial 31 finished with value: 0.7419354838709677 and parameters: {'upsampling_bins': 28, 'alpha': 0.15000000000000002, 'beta': 0.2}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:11:30,549 - INFO - Trial 32 finished with value: 0.7473118279569892 and parameters: {'upsampling_bins': 27, 'alpha': 0.1, 'beta': 0.15000000000000002}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:15:17,666 - INFO - Trial 33 finished with value: 0.663978494623656 and parameters: {'upsampling_bins': 26, 'alpha': 0.1, 'beta': 0.15000000000000002}. Best is trial 19 with value: 0.7728494623655914.
